word,mean_z1,mean_z2,quadrant,nearest_train_class,dist_to_king,dist_to_queen,dist_to_man,dist_to_woman
prince,-5.093740940093994,-5.587671279907227,"III (-,-)",king,2.678574562072754,10.586852073669434,13.554716110229492,16.847028732299805
princess,-0.007473902776837349,-5.449389457702637,"III (-,-)",queen,6.727280139923096,5.965014457702637,14.369781494140625,13.939872741699219
boy,-2.6399827003479004,4.074213027954102,"II (-,+)",man,12.60997486114502,14.832059860229492,4.634295463562012,9.088232040405273
girl,3.455507516860962,4.592054843902588,"I (+,+)",woman,15.89578628540039,13.294886589050293,9.247955322265625,3.5585625171661377
father,-1.4914655685424805,-0.41110360622406006,"III (-,-)",king,8.957586288452148,10.488150596618652,9.143856048583984,10.593936920166016
mother,4.690678119659424,-2.081192970275879,"IV (+,-)",queen,12.425409317016602,6.535324573516846,14.067519187927246,9.335783004760742
duke,-4.1643805503845215,-4.64941930770874,"III (-,-)",king,3.947005033493042,10.031407356262207,12.655132293701172,15.529867172241211
duchess,3.0268185138702393,-2.4271788597106934,"IV (+,-)",queen,10.809453010559082,6.503154754638672,13.227762222290039,10.024154663085938
