seed,split,space,cosine,l2
0,bootstrap,raw,0.8357428312301636,57.37981414794922
0,bootstrap,z,0.9991074204444885,0.43478137254714966
1,bootstrap,raw,0.8329595327377319,57.661319732666016
1,bootstrap,z,0.9986851811408997,0.5082878470420837
2,bootstrap,raw,0.8297999501228333,58.32032012939453
2,bootstrap,z,0.9999657869338989,0.0833183154463768
3,bootstrap,raw,0.8291876316070557,58.450199127197266
3,bootstrap,z,0.998814582824707,0.5032444596290588
4,bootstrap,raw,0.8334587812423706,57.613285064697266
4,bootstrap,z,0.9996861219406128,0.25057747960090637
5,bootstrap,raw,0.8320265412330627,57.87939453125
5,bootstrap,z,0.9993318319320679,0.3735925853252411
6,bootstrap,raw,0.8293604850769043,58.12963104248047
6,bootstrap,z,0.9997929334640503,0.31214064359664917
7,bootstrap,raw,0.8353027105331421,57.35140609741211
7,bootstrap,z,0.9996340274810791,0.31469789147377014
8,bootstrap,raw,0.83749920129776,56.8536262512207
8,bootstrap,z,0.9998112916946411,0.19627758860588074
9,bootstrap,raw,0.8366813659667969,57.438419342041016
9,bootstrap,z,0.999441385269165,0.35380876064300537
10,bootstrap,raw,0.8331159353256226,57.65250015258789
10,bootstrap,z,0.9992692470550537,0.3911568820476532
11,bootstrap,raw,0.8322793841362,57.70134735107422
11,bootstrap,z,0.9995478391647339,0.3023405373096466
12,bootstrap,raw,0.8376153707504272,56.93781661987305
12,bootstrap,z,0.9996055364608765,0.28150612115859985
13,bootstrap,raw,0.8328661322593689,57.582916259765625
13,bootstrap,z,0.999923586845398,0.1331353485584259
14,bootstrap,raw,0.8360263705253601,57.118228912353516
14,bootstrap,z,0.9996129870414734,0.3057195246219635
15,bootstrap,raw,0.8391201496124268,56.92830276489258
15,bootstrap,z,0.9999206066131592,0.19295160472393036
16,bootstrap,raw,0.8314427733421326,58.01113510131836
16,bootstrap,z,0.9994250535964966,0.3432174026966095
17,bootstrap,raw,0.834892749786377,57.58447265625
17,bootstrap,z,0.9984146356582642,0.5657612085342407
18,bootstrap,raw,0.8286601901054382,58.20685958862305
18,bootstrap,z,0.9995054602622986,0.3243027627468109
19,bootstrap,raw,0.833969235420227,57.92684555053711
19,bootstrap,z,0.9996492862701416,0.27690210938453674
20,bootstrap,raw,0.8346410989761353,57.273441314697266
20,bootstrap,z,0.9993038177490234,0.37391775846481323
21,bootstrap,raw,0.8314931392669678,57.735782623291016
21,bootstrap,z,0.9999780654907227,0.15594977140426636
22,bootstrap,raw,0.8385051488876343,56.81209945678711
22,bootstrap,z,0.9979555606842041,0.652077853679657
23,bootstrap,raw,0.8352173566818237,57.28411102294922
23,bootstrap,z,0.9996969699859619,0.2548108696937561
24,bootstrap,raw,0.8277978897094727,58.4861946105957
24,bootstrap,z,0.9999998211860657,0.07719618827104568
25,bootstrap,raw,0.8330053091049194,57.87166213989258
25,bootstrap,z,0.9980735778808594,0.628774881362915
26,bootstrap,raw,0.8261539340019226,58.98704147338867
26,bootstrap,z,0.9996075630187988,0.28515905141830444
27,bootstrap,raw,0.8323091864585876,57.90993118286133
27,bootstrap,z,0.9995937347412109,0.3303484618663788
28,bootstrap,raw,0.8421608209609985,56.268157958984375
28,bootstrap,z,0.9999972581863403,0.08509019017219543
29,bootstrap,raw,0.8315946459770203,57.88279342651367
29,bootstrap,z,0.9993874430656433,0.36169135570526123
30,bootstrap,raw,0.8301329612731934,58.22761154174805
30,bootstrap,z,0.9993481040000916,0.37066617608070374
31,bootstrap,raw,0.828301727771759,58.87700271606445
31,bootstrap,z,0.9999163150787354,0.15392300486564636
